hypothesis,contrast,pairs,control_mean_fanu,treatment_mean_fanu,mean_difference,ci95_low,ci95_high,median_difference,permutation_p,holm_p,permutation_mode,mcnemar_p
H1,B - A,40,0.893578,0.162454,-0.731124,-0.848360,-0.608697,-0.973477,0.000010,0.000020,monte_carlo_add_one,0.000001
H2,C - B,40,0.162454,0.113469,-0.048985,-0.211189,0.107149,0.000000,0.570312,0.570312,exact,0.453125
